Section,Category,Type,Manufactured,Price,Energy_value
Собственное производство,Кулинария,Десерты и фруктовые салаты,"ООО ""Гиперглобус""",389,213.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""ДИАЛ-К""",79,350.0
Замороженные продукты,"Пельмени, вареники, хинкали",Пельмени,"ООО ""Снежана+Д""",374,260.0
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Маргарины и спреды,"АО ""Нижегородский масло-жировой комбинат""",75,545.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Контек""",84,515.0
Собственное производство,Мясной цех,Деликатесы,"ООО ""Гиперглобус""",299,363.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""Олимпик-Фудс""",53,21.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Кондитерская фабрика ""Сладкая жизнь""",49,370.0
Бакалея,Диетические продукты,"Аптека, витамины, БАДы","ЗАО ""Эвалар""",219,210.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,Беларусь,599,330.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Соленая рыба,"ОАО ""Рыбообрабатывающий комбинат №1""",248,610.0
Бакалея,Чипсы и снеки,Чипсы,"ООО ""Фрито Лей Мануфактуринг""",99,510.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Рыбные закуски и пресервы,"ООО ""Антей""",139,300.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",D’arbo,329,172.0
Бакалея,Чипсы и снеки,Чипсы,UMA Investments Sp. Z o.o.,71,515.0
Бакалея,Консервы и мёд,Рыбные консервы,"ООО ""Логистическая компания А"" (завод №К57)",79,261.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","Пастилки: Гуандонг Фувэй Фрутс энд Натс Мэньюфекчурин Со., Лтд., Китай. Подарок: Шенджень Данли Тойз Ко Лтд., Китай",139,361.2
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,"АО ""Белгородский молочный комбинат""",92,32.0
Бакалея,Консервы и мёд,Овощные консервы,Alnatura GmbH,342,31.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"LLC ""SamGak FMC Well Being Land""",66,37.26
Бакалея,"Растительные масла, соусы",Азиатская кухня,"Beijing Weishenne Trade Co., Ltd",299,157.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","АО ""Эссен Продакшн АГ""",49,93.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Кефир,"АО ""Данон Россия""",39,51.0
Детские товары,Детское питание,Детское пюре,"ООО ""Хипп""",99,62.0
Бакалея,Крупы и макаронные изделия,Рис,"ООО ""Гарнец""",109,340.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""МПЗ ""Рублевский""",1299,675.0
Детские товары,Детское питание,"Соки, напитки","ООО ""Южная соковая компания""",26,45.0
Бакалея,"Орехи, сухофрукты, семечки",Урбеч и пасты,"ООО ""СиЭко Фудс""",219,595.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"АО ""Данон Россия""",42,89.0
Детские товары,Детское питание,Детские молочные продукты,"АО ""Прогресс""",29,110.6
